fecha,ciudad,direccion,velocidad_media,velocidad_maxima
2000-01-01,Jaén,190.0,3.96,16.92
2000-01-02,Jaén,185.0,5.04,15.12
2000-01-03,Jaén,180.0,5.04,16.92
2000-01-04,Jaén,170.0,2.16,25.92
2000-01-05,Jaén,155.0,6.12,12.96
2000-01-06,Jaén,140.0,5.04,21.96
2000-01-07,Jaén,150.0,1.08,19.08
2000-01-08,Jaén,230.0,2.16,14.04
2000-01-09,Jaén,170.0,2.88,14.04
2000-01-10,Jaén,140.0,6.84,47.16
2000-01-11,Jaén,140.0,6.12,42.84
2000-01-12,Jaén,140.0,3.96,36.0
2000-01-13,Jaén,310.0,3.96,21.96
2000-01-14,Jaén,140.0,6.84,41.04
2000-01-15,Jaén,140.0,6.84,41.04
2000-01-16,Jaén,100.0,11.88,38.88
2000-01-17,Jaén,120.0,5.04,41.04
2000-01-18,Jaén,170.0,2.88,12.96
2000-01-19,Jaén,190.0,2.16,15.12
2000-01-20,Jaén,160.0,6.12,43.92
2000-01-21,Jaén,170.0,2.16,27.0
2000-01-22,Jaén,330.0,5.04,15.84
2000-01-23,Jaén,160.0,2.16,18.0
2000-01-24,Jaén,180.0,5.04,14.04
2000-01-25,Jaén,170.0,2.88,18.0
2000-01-26,Jaén,160.0,10.08,39.96
2000-01-27,Jaén,170.0,9.0,39.96
2000-01-28,Jaén,180.0,2.88,33.12
2000-01-29,Jaén,180.0,5.04,16.92
2000-01-30,Jaén,190.0,6.12,20.16
2000-01-31,Jaén,140.0,6.12,25.92
2000-02-01,Jaén,270.0,3.96,37.08
2000-02-02,Jaén,280.0,5.04,25.92
2000-02-03,Jaén,90.0,5.04,24.12
2000-02-04,Jaén,140.0,6.84,51.12
2000-02-05,Jaén,160.0,11.16,47.16
2000-02-06,Jaén,320.0,5.04,29.16
2000-02-07,Jaén,310.0,6.12,19.08
2000-02-08,Jaén,280.0,6.84,36.0
2000-02-09,Jaén,160.0,3.96,19.08
2000-02-10,Jaén,340.0,3.96,18.0
2000-02-11,Jaén,160.0,6.12,20.16
2000-02-12,Jaén,50.0,2.16,21.96
2000-02-13,Jaén,350.0,10.08,25.92
2000-02-14,Jaén,170.0,2.16,19.08
2000-02-15,Jaén,260.0,6.12,28.08
2000-02-16,Jaén,280.0,7.92,41.04
2000-02-17,Jaén,260.0,7.92,21.96
2000-02-18,Jaén,140.0,3.96,23.04
2000-02-19,Jaén,240.0,2.16,12.96
2000-02-20,Jaén,260.0,3.96,20.88
2000-02-21,Jaén,220.0,6.84,23.04
2000-02-22,Jaén,310.0,6.84,33.12
2000-02-23,Jaén,50.0,5.04,24.12
2000-02-24,Jaén,170.0,12.96,43.92
2000-02-25,Jaén,130.0,12.96,51.84
2000-02-26,Jaén,170.0,11.16,21.96
2000-02-27,Jaén,330.0,6.84,21.96
2000-02-28,Jaén,340.0,11.16,21.96
2000-02-29,Jaén,280.0,5.04,33.12
2000-03-01,Jaén,280.0,7.92,38.88
2000-03-02,Jaén,110.0,3.96,21.96
2000-03-03,Jaén,340.0,2.88,19.08
2000-03-04,Jaén,330.0,5.04,24.84
2000-03-05,Jaén,170.0,6.12,24.84
2000-03-06,Jaén,170.0,10.08,29.88
2000-03-07,Jaén,360.0,3.96,14.04
2000-03-08,Jaén,160.0,3.96,27.0
2000-03-09,Jaén,170.0,11.16,28.08
2000-03-10,Jaén,170.0,5.04,25.92
2000-03-11,Jaén,130.0,14.04,29.88
2000-03-12,Jaén,270.0,9.0,42.84
2000-03-13,Jaén,340.0,6.12,41.04
2000-03-14,Jaén,340.0,3.96,34.92
2000-03-15,Jaén,230.0,2.88,34.92
2000-03-16,Jaén,120.0,3.96,34.92
2000-03-17,Jaén,170.0,2.88,38.16
2000-03-18,Jaén,10.0,3.96,16.92
2000-03-19,Jaén,280.0,6.84,36.0
2000-03-20,Jaén,130.0,7.92,43.92
2000-03-21,Jaén,120.0,12.96,46.08
2000-03-22,Jaén,120.0,6.84,38.16
2000-03-23,Jaén,240.0,11.88,47.16
2000-03-24,Jaén,290.0,5.04,28.08
2000-03-25,Jaén,320.0,6.84,25.92
2000-03-26,Jaén,306.6666666666667,7.92,30.96
2000-03-27,Jaén,293.3333333333333,9.0,36.0
2000-03-28,Jaén,280.0,19.08,41.04
2000-03-29,Jaén,280.0,6.84,34.92
2000-03-30,Jaén,280.0,7.92,33.12
2000-03-31,Jaén,310.0,9.0,42.84
2000-04-01,Jaén,310.0,6.84,36.0
2000-04-02,Jaén,160.0,24.12,75.96
2000-04-03,Jaén,210.0,20.88,63.0
2000-04-04,Jaén,270.0,18.0,55.08
2000-04-05,Jaén,310.0,12.96,39.96
2000-04-06,Jaén,140.0,2.88,23.04
2000-04-07,Jaén,130.0,14.04,60.12
2000-04-08,Jaén,130.0,7.92,43.92
2000-04-09,Jaén,160.0,11.88,54.0
2000-04-10,Jaén,210.0,21.96,56.16
2000-04-11,Jaén,260.0,20.16,56.16
2000-04-12,Jaén,330.0,12.96,33.12
2000-04-13,Jaén,260.0,6.84,37.08
2000-04-14,Jaén,220.0,29.88,68.04
2000-04-15,Jaén,160.0,6.12,75.96
2000-04-16,Jaén,193.33333333333334,10.620000000000001,67.32
2000-04-17,Jaén,226.66666666666669,15.12,58.67999999999999
2000-04-18,Jaén,260.0,14.04,50.04
2000-04-19,Jaén,250.0,9.0,42.84
2000-04-20,Jaén,300.0,10.08,34.92
2000-04-21,Jaén,290.0,10.08,33.12
2000-04-22,Jaén,280.0,14.04,50.04
2000-04-23,Jaén,250.0,11.88,37.08
2000-04-24,Jaén,320.0,6.84,21.96
2000-04-25,Jaén,260.0,15.84,42.84
2000-04-26,Jaén,250.0,9.0,43.92
2000-04-27,Jaén,290.0,15.84,59.04
2000-04-28,Jaén,270.0,11.16,47.16
2000-04-29,Jaén,160.0,3.96,18.0
2000-04-30,Jaén,140.0,7.92,36.0
2000-05-01,Jaén,280.0,7.92,24.12
2000-05-02,Jaén,100.0,5.04,38.16
2000-05-03,Jaén,170.0,7.92,47.16
2000-05-04,Jaén,310.0,9.0,50.04
2000-05-05,Jaén,260.0,5.04,59.04
2000-05-06,Jaén,140.0,6.84,43.92
2000-05-07,Jaén,310.0,5.04,30.96
2000-05-08,Jaén,310.0,3.96,29.88
2000-05-09,Jaén,280.0,6.84,38.88
2000-05-10,Jaén,290.0,9.0,34.92
2000-05-11,Jaén,340.0,6.12,25.92
2000-05-12,Jaén,170.0,7.92,28.08
2000-05-13,Jaén,145.0,6.84,19.08
2000-05-14,Jaén,120.0,5.04,46.08
2000-05-15,Jaén,130.0,7.92,56.16
2000-05-16,Jaén,70.0,11.88,43.92
2000-05-17,Jaén,260.0,11.88,37.08
2000-05-18,Jaén,280.0,7.92,33.12
2000-05-19,Jaén,320.0,6.12,32.04
2000-05-20,Jaén,290.0,6.6,42.84
2000-05-21,Jaén,130.0,7.08,42.84
2000-05-22,Jaén,330.0,7.5600000000000005,21.96
2000-05-23,Jaén,180.0,8.04,33.12
2000-05-24,Jaén,320.0,8.52,33.84
2000-05-25,Jaén,320.0,9.0,36.0
2000-05-26,Jaén,330.0,9.135,36.0
2000-05-27,Jaén,320.0,9.27,33.12
2000-05-28,Jaén,340.0,9.405,33.12
2000-05-29,Jaén,360.0,9.54,21.96
2000-05-30,Jaén,310.0,9.675,30.96
2000-05-31,Jaén,340.0,9.81,27.0
2000-06-01,Jaén,170.0,9.945,33.12
2000-06-02,Jaén,320.0,10.08,36.0
2000-06-03,Jaén,320.0,10.215,25.92
2000-06-04,Jaén,320.0,10.35,33.12
2000-06-05,Jaén,320.0,10.485,45.0
2000-06-06,Jaén,20.0,10.620000000000001,23.04
2000-06-07,Jaén,320.0,10.755,21.96
2000-06-08,Jaén,270.0,10.89,33.84
2000-06-09,Jaén,310.0,11.025,50.04
2000-06-10,Jaén,280.0,11.16,51.84
2000-06-11,Jaén,240.0,3.96,32.04
2000-06-12,Jaén,140.0,3.96,29.88
2000-06-13,Jaén,140.0,2.88,42.12
2000-06-14,Jaén,160.0,6.12,32.04
2000-06-19,Jaén,320.0,9.0,39.96
2000-06-20,Jaén,290.0,11.88,37.08
2000-06-21,Jaén,260.0,6.84,37.08
2000-06-22,Jaén,330.0,7.92,42.84
2000-06-23,Jaén,290.0,7.92,30.96
2000-06-24,Jaén,100.0,6.84,38.88
2000-06-25,Jaén,260.0,9.0,41.04
2000-06-26,Jaén,230.0,10.08,59.04
2000-06-27,Jaén,280.0,11.16,43.92
2000-06-28,Jaén,310.0,9.0,42.84
2000-06-29,Jaén,130.0,9.0,37.08
2000-06-30,Jaén,270.0,10.08,41.04
2000-07-01,Jaén,340.0,11.040000000000001,42.84
2000-07-02,Jaén,270.0,12.0,38.88
2000-07-03,Jaén,280.0,12.96,47.88
2000-07-04,Jaén,340.0,9.540000000000001,29.88
2000-07-05,Jaén,290.0,6.12,21.96
2000-07-06,Jaén,300.0,14.04,41.04
2000-07-07,Jaén,290.0,11.16,41.04
2000-07-08,Jaén,280.0,10.08,41.04
2000-07-09,Jaén,280.0,10.08,43.92
2000-07-10,Jaén,310.0,14.04,56.16
2000-07-11,Jaén,320.0,6.12,33.12
2000-07-12,Jaén,140.0,3.96,25.92
2000-07-13,Jaén,190.0,5.04,29.88
2000-07-14,Jaén,270.0,6.12,24.12
2000-07-15,Jaén,330.0,7.92,21.96
2000-07-16,Jaén,100.0,15.84,43.92
2000-07-17,Jaén,270.0,12.96,43.92
2000-07-18,Jaén,280.0,11.16,43.92
2000-07-19,Jaén,320.0,7.92,37.08
2000-07-20,Jaén,260.0,7.92,33.12
2000-07-21,Jaén,330.0,11.16,33.12
2000-07-22,Jaén,290.0,16.92,38.88
2000-07-23,Jaén,300.0,20.16,43.92
2000-07-24,Jaén,295.0,11.16,41.04
2000-07-25,Jaén,290.0,11.88,46.08
2000-07-26,Jaén,330.0,9.0,29.88
2000-07-27,Jaén,290.0,16.92,42.84
2000-07-28,Jaén,330.0,6.84,30.96
2000-07-29,Jaén,320.0,11.16,33.12
2000-07-30,Jaén,280.0,12.96,29.88
2000-07-31,Jaén,280.0,6.84,33.12
2000-08-01,Jaén,280.0,10.08,43.92
2000-08-02,Jaén,230.0,15.12,37.08
2000-08-03,Jaén,290.0,19.08,42.84
2000-08-04,Jaén,350.0,10.08,28.08
2000-08-05,Jaén,150.0,11.16,29.88
2000-08-06,Jaén,130.0,16.92,37.08
2000-08-07,Jaén,115.0,11.16,41.04
2000-08-08,Jaén,100.0,19.08,43.92
2000-08-09,Jaén,190.0,10.08,29.88
2000-08-10,Jaén,280.0,7.92,37.08
2000-08-11,Jaén,290.0,10.08,50.04
2000-08-12,Jaén,300.0,11.16,41.04
2000-08-13,Jaén,320.0,9.0,37.08
2000-08-14,Jaén,320.0,2.88,25.92
2000-08-15,Jaén,240.0,3.96,25.92
2000-08-16,Jaén,340.0,7.92,37.08
2000-08-17,Jaén,270.0,6.84,38.88
2000-08-18,Jaén,320.0,11.88,42.84
2000-08-19,Jaén,260.0,10.08,41.04
2000-08-20,Jaén,260.0,9.0,38.88
2000-08-21,Jaén,320.0,11.88,37.08
2000-08-22,Jaén,320.0,6.84,41.04
2000-08-23,Jaén,110.0,5.04,33.12
2000-08-24,Jaén,330.0,3.96,41.04
2000-08-25,Jaén,290.0,10.08,43.92
2000-08-26,Jaén,300.0,6.12,29.88
2000-08-27,Jaén,150.0,3.96,25.92
2000-08-28,Jaén,170.0,11.16,43.92
2000-08-29,Jaén,320.0,6.12,38.88
2000-08-30,Jaén,290.0,7.92,38.88
2000-08-31,Jaén,320.0,5.04,33.12
2000-09-01,Jaén,290.0,9.0,34.92
2000-09-02,Jaén,260.0,9.0,41.04
2000-09-03,Jaén,260.0,7.92,42.84
2000-09-04,Jaén,130.0,3.96,41.04
2000-09-05,Jaén,180.0,7.92,37.08
2000-09-06,Jaén,140.0,2.16,28.08
2000-09-07,Jaén,160.0,2.16,20.16
2000-09-08,Jaén,140.0,1.08,41.04
2000-09-09,Jaén,120.0,11.16,37.08
2000-09-10,Jaén,170.0,11.88,41.04
2000-09-11,Jaén,300.0,10.08,37.08
2000-09-12,Jaén,220.0,6.12,25.92
2000-09-13,Jaén,340.0,11.16,33.12
2000-09-14,Jaén,230.0,3.96,25.92
2000-09-15,Jaén,260.0,6.84,33.12
2000-09-16,Jaén,280.0,7.92,41.04
2000-09-17,Jaén,320.0,11.16,42.84
2000-09-18,Jaén,260.0,6.84,41.04
